Opis,Vrednost
Missing vrednosti,0
Duplikati,0
G1 van opsega 0-20,Ne
G2 van opsega 0-20,Ne
G3 van opsega 0-20,Ne
Age anomalije,Ne
Maksimalan broj izostanaka,32
Ciljna promenljiva,G3
Scenario sa G1 i G2,32 atributa; koriste se svi ulazni atributi osim G3.
Scenario bez G1 i G2,"30 atributa; koriste se svi ulazni atributi osim G1, G2 i G3."
Kandidati za uklanjanje,Nema
Zaključak,"Dataset nema nedostajuće vrednosti ni duplikate. Ocene G1, G2 i G3 su u očekivanom opsegu 0-20. Ne postoje očigledne kolone ili redovi za uklanjanje. U ovom koraku su definisani target G3 i osnovni scenariji sa G1/G2 i bez G1/G2. Preprocessing nije primenjen unapred nad celim datasetom; StandardScaler i OneHotEncoder se koriste kasnije unutar Pipeline-a tokom treniranja modela, čime se izbegava data leakage."
