scenario,model,parameters,validation_MAE,validation_RMSE,validation_R2,is_best
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=5,0.6553,0.8831,0.9207,Da
with_G1_G2,Ridge Regression,alpha=10.0,0.7464,1.0457,0.8888,Da
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=2,2.0547,2.7633,0.2232,Da
without_G1_G2,Ridge Regression,alpha=100.0,2.0021,2.7782,0.2148,Da
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=5,0.6479,0.8839,0.9205,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=5,0.6550,0.8906,0.9193,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=5,0.6554,0.8911,0.9192,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=5,0.6632,0.8926,0.9190,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=5,0.6631,0.8927,0.9189,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=2,0.6671,0.9225,0.9134,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=2,0.6790,0.9298,0.9121,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=2,0.6773,0.9303,0.9120,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=2,0.6687,0.9317,0.9117,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=2,0.6866,0.9387,0.9104,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=2,0.6858,0.9389,0.9103,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=1,0.6716,0.9536,0.9075,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=1,0.6824,0.9735,0.9036,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=1,0.7058,0.9862,0.9011,Ne
with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=1,0.7082,0.9928,0.8997,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=1,0.7097,1.0040,0.8975,Ne
with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=1,0.7119,1.0092,0.8964,Ne
with_G1_G2,Ridge Regression,alpha=1.0,0.7686,1.0555,0.8867,Ne
with_G1_G2,Ridge Regression,alpha=0.1,0.7716,1.0575,0.8862,Ne
with_G1_G2,Ridge Regression,alpha=0.01,0.7719,1.0577,0.8862,Ne
with_G1_G2,Ridge Regression,alpha=100.0,0.7394,1.1264,0.8709,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=5,2.0535,2.7697,0.2196,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=5,2.0485,2.7707,0.2191,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=2,2.0614,2.7746,0.2169,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=1,2.0923,2.7779,0.2150,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=5,2.0557,2.7810,0.2133,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=5,2.0556,2.7814,0.2130,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=2,2.0714,2.7824,0.2125,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=2,2.0920,2.7843,0.2114,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=2,2.0766,2.7857,0.2106,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=1,2.1024,2.7870,0.2098,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=1,2.0871,2.7906,0.2078,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=10; min_samples_leaf=1,2.0810,2.7922,0.2069,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=5,2.0802,2.7981,0.2035,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=2,2.0889,2.7996,0.2027,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=5,2.0803,2.8041,0.2002,Ne
without_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=1,2.1123,2.8261,0.1875,Ne
without_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=1,2.1190,2.8497,0.1739,Ne
without_G1_G2,Ridge Regression,alpha=10.0,2.0816,2.8283,0.1863,Ne
without_G1_G2,Ridge Regression,alpha=1.0,2.1183,2.8668,0.1639,Ne
without_G1_G2,Ridge Regression,alpha=0.1,2.1232,2.8726,0.1606,Ne
without_G1_G2,Ridge Regression,alpha=0.01,2.1237,2.8732,0.1602,Ne
