scenario,transformed_feature,original_feature,importance,rank
with_G1_G2,G2,G2,0.896595,1
with_G1_G2,absences,absences,0.036763,2
with_G1_G2,G1,G1,0.014654,3
with_G1_G2,age,age,0.012926,4
with_G1_G2,freetime,freetime,0.005300,5
with_G1_G2,reason_other,reason,0.003998,6
with_G1_G2,health,health,0.003636,7
with_G1_G2,Fedu,Fedu,0.002579,8
with_G1_G2,failures,failures,0.002284,9
with_G1_G2,school_MS,school,0.002149,10
with_G1_G2,Medu,Medu,0.001974,11
with_G1_G2,traveltime,traveltime,0.001577,12
with_G1_G2,famrel,famrel,0.001549,13
with_G1_G2,Dalc,Dalc,0.001377,14
with_G1_G2,Walc,Walc,0.001264,15
with_G1_G2,goout,goout,0.001119,16
with_G1_G2,reason_course,reason,0.000911,17
with_G1_G2,studytime,studytime,0.000877,18
with_G1_G2,activities_no,activities,0.000575,19
with_G1_G2,schoolsup_no,schoolsup,0.000516,20
with_G1_G2,Fjob_other,Fjob,0.000461,21
with_G1_G2,activities_yes,activities,0.000459,22
with_G1_G2,sex_F,sex,0.000433,23
with_G1_G2,Fjob_services,Fjob,0.000410,24
with_G1_G2,Mjob_other,Mjob,0.000379,25
with_G1_G2,guardian_mother,guardian,0.000327,26
with_G1_G2,nursery_no,nursery,0.000324,27
with_G1_G2,reason_home,reason,0.000308,28
with_G1_G2,guardian_father,guardian,0.000295,29
with_G1_G2,famsup_yes,famsup,0.000292,30
with_G1_G2,address_R,address,0.000280,31
with_G1_G2,Mjob_services,Mjob,0.000279,32
with_G1_G2,famsup_no,famsup,0.000266,33
with_G1_G2,famsize_GT3,famsize,0.000263,34
with_G1_G2,romantic_yes,romantic,0.000245,35
with_G1_G2,higher_no,higher,0.000227,36
with_G1_G2,romantic_no,romantic,0.000215,37
with_G1_G2,famsize_LE3,famsize,0.000211,38
with_G1_G2,school_GP,school,0.000208,39
with_G1_G2,schoolsup_yes,schoolsup,0.000192,40
with_G1_G2,internet_yes,internet,0.000157,41
with_G1_G2,internet_no,internet,0.000152,42
with_G1_G2,paid_no,paid,0.000141,43
with_G1_G2,nursery_yes,nursery,0.000129,44
with_G1_G2,sex_M,sex,0.000129,45
with_G1_G2,Fjob_at_home,Fjob,0.000117,46
with_G1_G2,reason_reputation,reason,0.000100,47
with_G1_G2,higher_yes,higher,0.000086,48
with_G1_G2,address_U,address,0.000077,49
with_G1_G2,Mjob_at_home,Mjob,0.000074,50
with_G1_G2,Mjob_teacher,Mjob,0.000060,51
with_G1_G2,Pstatus_T,Pstatus,0.000048,52
with_G1_G2,paid_yes,paid,0.000021,53
with_G1_G2,Pstatus_A,Pstatus,0.000011,54
with_G1_G2,Fjob_health,Fjob,0,55
with_G1_G2,Fjob_teacher,Fjob,0,56
with_G1_G2,Mjob_health,Mjob,0,57
with_G1_G2,guardian_other,guardian,0,58
without_G1_G2,failures,failures,0.247520,1
without_G1_G2,absences,absences,0.052936,2
without_G1_G2,age,age,0.039692,3
without_G1_G2,Fedu,Fedu,0.036970,4
without_G1_G2,health,health,0.034622,5
without_G1_G2,Dalc,Dalc,0.032454,6
without_G1_G2,studytime,studytime,0.031868,7
without_G1_G2,reason_other,reason,0.031483,8
without_G1_G2,Walc,Walc,0.031297,9
without_G1_G2,freetime,freetime,0.030559,10
without_G1_G2,goout,goout,0.027901,11
without_G1_G2,Medu,Medu,0.026478,12
without_G1_G2,school_GP,school,0.024002,13
without_G1_G2,school_MS,school,0.023106,14
without_G1_G2,higher_yes,higher,0.022544,15
without_G1_G2,higher_no,higher,0.020938,16
without_G1_G2,famrel,famrel,0.019895,17
