scenario,feature,importance,rank
with_G1_G2,G2,0.896595,1
with_G1_G2,absences,0.036763,2
with_G1_G2,G1,0.014654,3
with_G1_G2,age,0.012926,4
with_G1_G2,reason,0.005317,5
with_G1_G2,freetime,0.005300,6
with_G1_G2,health,0.003636,7
with_G1_G2,Fedu,0.002579,8
with_G1_G2,school,0.002357,9
with_G1_G2,failures,0.002284,10
with_G1_G2,Medu,0.001974,11
with_G1_G2,traveltime,0.001577,12
with_G1_G2,famrel,0.001549,13
with_G1_G2,Dalc,0.001377,14
with_G1_G2,Walc,0.001264,15
with_G1_G2,goout,0.001119,16
with_G1_G2,activities,0.001034,17
with_G1_G2,Fjob,0.000988,18
with_G1_G2,studytime,0.000877,19
with_G1_G2,Mjob,0.000793,20
with_G1_G2,schoolsup,0.000709,21
with_G1_G2,guardian,0.000622,22
with_G1_G2,sex,0.000562,23
with_G1_G2,famsup,0.000558,24
with_G1_G2,famsize,0.000475,25
with_G1_G2,romantic,0.000460,26
with_G1_G2,nursery,0.000453,27
with_G1_G2,address,0.000356,28
with_G1_G2,higher,0.000313,29
with_G1_G2,internet,0.000309,30
with_G1_G2,paid,0.000161,31
with_G1_G2,Pstatus,0.000059,32
without_G1_G2,failures,0.247520,1
without_G1_G2,reason,0.060714,2
without_G1_G2,absences,0.052936,3
without_G1_G2,school,0.047109,4
without_G1_G2,higher,0.043482,5
without_G1_G2,age,0.039692,6
without_G1_G2,Fedu,0.036970,7
without_G1_G2,health,0.034622,8
without_G1_G2,Dalc,0.032454,9
without_G1_G2,studytime,0.031868,10
without_G1_G2,Walc,0.031297,11
without_G1_G2,schoolsup,0.030780,12
without_G1_G2,freetime,0.030559,13
without_G1_G2,guardian,0.030324,14
without_G1_G2,goout,0.027901,15
without_G1_G2,Mjob,0.027369,16
without_G1_G2,Medu,0.026478,17
without_G1_G2,Fjob,0.023795,18
without_G1_G2,nursery,0.021880,19
without_G1_G2,famrel,0.019895,20
without_G1_G2,traveltime,0.017375,21
without_G1_G2,famsup,0.013692,22
without_G1_G2,address,0.013168,23
without_G1_G2,internet,0.012876,24
without_G1_G2,sex,0.011717,25
without_G1_G2,famsize,0.009962,26
without_G1_G2,activities,0.009162,27
without_G1_G2,romantic,0.009149,28
without_G1_G2,Pstatus,0.004005,29
without_G1_G2,paid,0.001249,30
