rank,feature,importance
1,failures,0.247520
2,reason,0.060714
3,absences,0.052936
4,school,0.047109
5,higher,0.043482
6,age,0.039692
7,Fedu,0.036970
8,health,0.034622
9,Dalc,0.032454
10,studytime,0.031868
11,Walc,0.031297
12,schoolsup,0.030780
13,freetime,0.030559
14,guardian,0.030324
15,goout,0.027901
16,Mjob,0.027369
17,Medu,0.026478
18,Fjob,0.023795
19,nursery,0.021880
20,famrel,0.019895
21,traveltime,0.017375
22,famsup,0.013692
23,address,0.013168
24,internet,0.012876
25,sex,0.011717
26,famsize,0.009962
27,activities,0.009162
28,romantic,0.009149
29,Pstatus,0.004005
30,paid,0.001249
