rank,feature,importance
1,G2,0.896595
2,absences,0.036763
3,G1,0.014654
4,age,0.012926
5,reason,0.005317
6,freetime,0.005300
7,health,0.003636
8,Fedu,0.002579
9,school,0.002357
10,failures,0.002284
11,Medu,0.001974
12,traveltime,0.001577
13,famrel,0.001549
14,Dalc,0.001377
15,Walc,0.001264
16,goout,0.001119
17,activities,0.001034
18,Fjob,0.000988
19,studytime,0.000877
20,Mjob,0.000793
21,schoolsup,0.000709
22,guardian,0.000622
23,sex,0.000562
24,famsup,0.000558
25,famsize,0.000475
26,romantic,0.000460
27,nursery,0.000453
28,address,0.000356
29,higher,0.000313
30,internet,0.000309
31,paid,0.000161
32,Pstatus,0.000059
