scenario,model,number_of_features,selected_features,numeric_features,categorical_features,train_rows,validation_rows,test_rows,validation_MAE,validation_RMSE,validation_R2,test_MAE,test_RMSE,test_R2
with_G1_G2,DummyRegressor,32,"school, sex, age, address, famsize, Pstatus, Medu, Fedu, Mjob, Fjob, reason, guardian, traveltime, studytime, failures, schoolsup, famsup, paid, activities, nursery, higher, internet, romantic, famrel, freetime, goout, Dalc, Walc, health, absences, G1, G2",15,17,454,97,98,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
with_G1_G2,Ridge Regression,32,"school, sex, age, address, famsize, Pstatus, Medu, Fedu, Mjob, Fjob, reason, guardian, traveltime, studytime, failures, schoolsup, famsup, paid, activities, nursery, higher, internet, romantic, famrel, freetime, goout, Dalc, Walc, health, absences, G1, G2",15,17,454,97,98,0.7686,1.0555,0.8867,0.8204,1.3314,0.8530
with_G1_G2,RandomForestRegressor,32,"school, sex, age, address, famsize, Pstatus, Medu, Fedu, Mjob, Fjob, reason, guardian, traveltime, studytime, failures, schoolsup, famsup, paid, activities, nursery, higher, internet, romantic, famrel, freetime, goout, Dalc, Walc, health, absences, G1, G2",15,17,454,97,98,0.7058,0.9862,0.9011,0.8556,1.3905,0.8397
top_features_with_G1_G2,DummyRegressor,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,98,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
top_features_with_G1_G2,Ridge Regression,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,98,0.6854,0.9739,0.9035,0.7683,1.2810,0.8639
top_features_with_G1_G2,RandomForestRegressor,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,98,0.6653,0.9319,0.9117,0.8584,1.4251,0.8316
without_G1_G2,DummyRegressor,30,"school, sex, age, address, famsize, Pstatus, Medu, Fedu, Mjob, Fjob, reason, guardian, traveltime, studytime, failures, schoolsup, famsup, paid, activities, nursery, higher, internet, romantic, famrel, freetime, goout, Dalc, Walc, health, absences",13,17,454,97,98,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
without_G1_G2,Ridge Regression,30,"school, sex, age, address, famsize, Pstatus, Medu, Fedu, Mjob, Fjob, reason, guardian, traveltime, studytime, failures, schoolsup, famsup, paid, activities, nursery, higher, internet, romantic, famrel, freetime, goout, Dalc, Walc, health, absences",13,17,454,97,98,2.1183,2.8668,0.1639,2.3377,3.0243,0.2416
without_G1_G2,RandomForestRegressor,30,"school, sex, age, address, famsize, Pstatus, Medu, Fedu, Mjob, Fjob, reason, guardian, traveltime, studytime, failures, schoolsup, famsup, paid, activities, nursery, higher, internet, romantic, famrel, freetime, goout, Dalc, Walc, health, absences",13,17,454,97,98,2.0923,2.7779,0.2150,2.1971,2.9105,0.2976
top_features_without_G1_G2,DummyRegressor,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,98,2.3008,3.1360,-0.0004,2.5932,3.5229,-0.0291
top_features_without_G1_G2,Ridge Regression,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,98,2.0119,2.7566,0.2270,2.3463,3.0649,0.2211
top_features_without_G1_G2,RandomForestRegressor,10,"failures, reason, absences, school, higher, age, Fedu, health, Dalc, studytime",7,3,454,97,98,2.1010,2.8431,0.1777,2.2282,2.9357,0.2854
