top_features_scenario,selection_source_scenario,feature,importance,rank
top_features_with_G1_G2,with_G1_G2,G2,0.896595,1
top_features_with_G1_G2,with_G1_G2,absences,0.036763,2
top_features_with_G1_G2,with_G1_G2,G1,0.014654,3
top_features_with_G1_G2,with_G1_G2,age,0.012926,4
top_features_with_G1_G2,with_G1_G2,reason,0.005317,5
top_features_with_G1_G2,with_G1_G2,freetime,0.005300,6
top_features_with_G1_G2,with_G1_G2,health,0.003636,7
top_features_with_G1_G2,with_G1_G2,Fedu,0.002579,8
top_features_with_G1_G2,with_G1_G2,school,0.002357,9
top_features_with_G1_G2,with_G1_G2,failures,0.002284,10
top_features_without_G1_G2,without_G1_G2,failures,0.247520,1
top_features_without_G1_G2,without_G1_G2,reason,0.060714,2
top_features_without_G1_G2,without_G1_G2,absences,0.052936,3
top_features_without_G1_G2,without_G1_G2,school,0.047109,4
top_features_without_G1_G2,without_G1_G2,higher,0.043482,5
top_features_without_G1_G2,without_G1_G2,age,0.039692,6
top_features_without_G1_G2,without_G1_G2,Fedu,0.036970,7
top_features_without_G1_G2,without_G1_G2,health,0.034622,8
top_features_without_G1_G2,without_G1_G2,Dalc,0.032454,9
top_features_without_G1_G2,without_G1_G2,studytime,0.031868,10
