scenario,model,parameters,number_of_features,selected_features,numeric_features,categorical_features,train_rows,validation_rows,validation_MAE,validation_RMSE,validation_R2,is_best
top_features_with_G1_G2,Ridge Regression,alpha=0.01,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6867,0.9735,0.9036,Da
top_features_with_G1_G2,Ridge Regression,alpha=0.1,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6866,0.9735,0.9036,Ne
top_features_with_G1_G2,Ridge Regression,alpha=1.0,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6854,0.9739,0.9035,Ne
top_features_with_G1_G2,Ridge Regression,alpha=10.0,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6756,0.9791,0.9025,Ne
top_features_with_G1_G2,Ridge Regression,alpha=100.0,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.7003,1.0849,0.8803,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=1,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6653,0.9319,0.9117,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=2,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6560,0.9189,0.9141,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=None; min_samples_leaf=5,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6265,0.8656,0.9238,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=1,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6366,0.8884,0.9197,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=2,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6347,0.8860,0.9201,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=5; min_samples_leaf=5,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6271,0.8689,0.9232,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=1,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6701,0.9448,0.9092,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=2,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6548,0.9194,0.9140,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=100; max_depth=10; min_samples_leaf=5,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6265,0.8656,0.9238,Da
top_features_with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=1,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6681,0.9383,0.9104,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=2,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6576,0.9256,0.9129,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=None; min_samples_leaf=5,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6284,0.8754,0.9221,Ne
top_features_with_G1_G2,RandomForestRegressor,n_estimators=200; max_depth=5; min_samples_leaf=1,10,"G2, absences, G1, age, reason, freetime, health, Fedu, school, failures",8,2,454,97,0.6427,0.9004,0.9175,Ne
